Time	LH_RectusFemoris	LH_RectusFemoris	
4.45662	0.04546614	0.004001237	
4.45716	0.04546829	0.00398744	
4.4577	0.04547045	0.003994339	
4.45824	0.0454726	0.00398744	
4.45878	0.04547475	0.003980542	
4.45932	0.04547689	0.003973643	
4.45986	0.04547904	0.003966744	
4.4604	0.04548118	0.003973643	
4.46094	0.04548332	0.003959845	
4.46148	0.04548546	0.003966744	
4.46202	0.04548759	0.003946048	
4.46256	0.04548972	0.003946048	
4.4631	0.04549186	0.003946048	
4.46364	0.04549399	0.003946048	
4.46418	0.04549611	0.003939149	
4.46472	0.04549824	0.003932251	
4.46526	0.04550036	0.003932251	
4.4658	0.04550248	0.003918453	
4.46634	0.04550459	0.003911554	
4.46688	0.0455067	0.003911554	
4.46742	0.04550881	0.003911554	
4.46796	0.04551092	0.003904656	
4.4685	0.04551303	0.003904656	
4.46904	0.04551513	0.003897757	
4.46958	0.04551724	0.003890858	
4.47012	0.04551933	0.00388396	
4.47066	0.04552143	0.003890858	
4.4712	0.04552352	0.003863264	
4.47174	0.04552562	0.00388396	
4.47228	0.04552771	0.003870162	
4.47282	0.04552979	0.003863264	
4.47336	0.04553188	0.003856365	
4.4739	0.04553396	0.003856365	
4.47444	0.04553604	0.003849466	
4.47498	0.04553811	0.003835669	
4.47552	0.04554018	0.003842568	
4.47606	0.04554226	0.003842568	
4.4766	0.04554433	0.00382877	
4.47714	0.04554639	0.00382877	
4.47768	0.04554846	0.003821872	
4.47822	0.04555052	0.003821872	
4.47876	0.04555258	0.003808074	
4.4793	0.04555463	0.003808074	
4.47984	0.04555669	0.003808074	
4.48038	0.04555875	0.003808074	
4.48092	0.04556079	0.003787378	
4.48146	0.04556283	0.00378048	
4.482	0.04556488	0.003787378	
4.48254	0.04556692	0.003787378	
4.48308	0.04556896	0.003773581	
4.48362	0.045571	0.003773581	
4.48416	0.04557303	0.003766682	
4.4847	0.04557506	0.003759783	
4.48524	0.04557709	0.003752885	
4.48578	0.04557912	0.003752885	
4.48632	0.04558114	0.003752885	
4.48686	0.04558316	0.003739087	
4.4874	0.04558518	0.003739087	
4.48794	0.0455872	0.003732189	
4.48848	0.04558921	0.003732189	
4.48902	0.04559123	0.003732189	
4.48956	0.04559323	0.003704594	
4.4901	0.04559524	0.003718391	
4.49064	0.04559724	0.003704594	
4.49118	0.04559924	0.003711493	
4.49172	0.04560124	0.003704594	
4.49226	0.04560324	0.003697695	
4.4928	0.04560523	0.003683898	
4.49334	0.04560722	0.003690797	
4.49388	0.04560921	0.003683898	
4.49442	0.0456112	0.003676999	
4.49496	0.04561318	0.003670101	
4.4955	0.04561516	0.003663202	
4.49604	0.04561713	0.003663202	
4.49658	0.04561911	0.003663202	
4.49712	0.04562108	0.003642506	
4.49766	0.04562305	0.003656303	
4.4982	0.04562502	0.003642506	
4.49874	0.04562698	0.003635607	
4.49928	0.04562895	0.003635607	
4.49982	0.04563091	0.003628708	
4.50036	0.04563287	0.003628708	
4.5009	0.04563482	0.003614911	
4.50144	0.04563677	0.003614911	
4.50198	0.04563872	0.003608012	
4.50252	0.04564067	0.003608012	
4.50306	0.04564261	0.003601114	
4.5036	0.04564455	0.003594215	
4.50414	0.04564649	0.003587316	
4.50468	0.04564842	0.003580418	
4.50522	0.04565036	0.003587316	
4.50576	0.04565229	0.003573519	
4.5063	0.04565422	0.003573519	
4.50684	0.04565614	0.00356662	
4.50738	0.04565807	0.003559722	
4.50792	0.04565999	0.003559722	
4.50846	0.04566191	0.003552823	
4.509	0.04566382	0.003545924	
4.50954	0.04566573	0.003539026	
4.51008	0.04566764	0.003532127	
4.51062	0.04566955	0.003539026	
4.51116	0.04567146	0.003525228	
4.5117	0.04567336	0.003525228	
4.51224	0.04567526	0.003525228	
4.51278	0.04567715	0.003497633	
4.51332	0.04567905	0.003511431	
4.51386	0.04568094	0.003497633	
4.5144	0.04568283	0.003504532	
4.51494	0.04568472	0.003497633	
4.51548	0.0456866	0.003490735	
4.51602	0.04568848	0.003476937	
4.51656	0.04569036	0.003476937	
4.5171	0.04569224	0.003476937	
4.51764	0.04569411	0.003470039	
4.51818	0.04569598	0.00346314	
4.51872	0.04569785	0.003456241	
4.51926	0.04569971	0.003456241	
4.5198	0.04570157	0.003442444	
4.52034	0.04570343	0.003449343	
4.52088	0.04570529	0.003442444	
4.52142	0.04570715	0.003435545	
4.52196	0.045709	0.003421748	
4.5225	0.04571084	0.003421748	
4.52304	0.04571269	0.003421748	
4.52358	0.04571453	0.003414849	
4.52412	0.04571638	0.003407951	
4.52466	0.04571822	0.003414849	
4.5252	0.04572005	0.003394153	
4.52574	0.04572189	0.003401052	
4.52628	0.04572372	0.003387254	
4.52682	0.04572555	0.003387254	
4.52736	0.04572737	0.003380356	
4.5279	0.0457292	0.003380356	
4.52844	0.04573102	0.003366558	
4.52898	0.04573283	0.003352761	
4.52952	0.04573465	0.003373457	
4.53006	0.04573646	0.003352761	
4.5306	0.04573826	0.003345862	
4.53114	0.04574008	0.003352761	
4.53168	0.04574188	0.003345862	
4.53222	0.04574367	0.003318268	
4.53276	0.04574548	0.003338964	
4.5333	0.04574727	0.003318268	
4.53384	0.04574906	0.003325166	
4.53438	0.04575085	0.003311369	
4.53492	0.04575264	0.003318268	
4.53546	0.04575443	0.00330447	
4.536	0.04575621	0.00330447	
4.53654	0.04575799	0.003290673	
4.53708	0.04575977	0.003290673	
4.53762	0.04576154	0.003283774	
4.53816	0.04576331	0.003283774	
4.5387	0.04576508	0.003276875	
4.53924	0.04576685	0.003269977	
4.53978	0.04576861	0.003269977	
4.54032	0.04577037	0.003256179	
4.54086	0.04577214	0.003263078	
4.5414	0.04577389	0.003242382	
4.54194	0.04577564	0.003256179	
4.54248	0.04577739	0.003235483	
4.54302	0.04577914	0.003235483	
4.54356	0.04578089	0.003242382	
4.5441	0.04578263	0.003221686	
4.54464	0.04578437	0.003214787	
4.54518	0.0457861	0.003214787	
4.54572	0.04578784	0.003214787	
4.54626	0.04578957	0.003207889	
4.5468	0.0457913	0.00320099	
4.54734	0.04579302	0.003194091	
4.54788	0.04579475	0.003194091	
4.54842	0.04579647	0.003187193	
4.54896	0.04579819	0.003180294	
4.5495	0.0457999	0.003180294	
4.55004	0.04580161	0.003166497	
4.55058	0.04580332	0.003166497	
4.55112	0.04580503	0.003166497	
4.55166	0.04580673	0.0031458	
4.5522	0.04580844	0.003159598	
4.55274	0.04581014	0.003152699	
4.55328	0.04581183	0.003132003	
4.55382	0.04581353	0.003138902	
4.55436	0.04581522	0.003138902	
4.5549	0.04581691	0.003125104	
4.55544	0.04581859	0.003118206	
4.55598	0.04582028	0.003118206	
4.55652	0.04582196	0.003118206	
4.55706	0.04582363	0.00309751	
4.5576	0.04582531	0.003111307	
4.55814	0.04582698	0.003090611	
4.55868	0.04582865	0.003090611	
4.55922	0.04583032	0.003090611	
4.55976	0.04583199	0.003083712	
4.5603	0.04583365	0.003076814	
4.56084	0.04583531	0.003076814	
4.56138	0.04583696	0.003063016	
4.56192	0.04583862	0.003063016	
4.56246	0.04584026	0.003049219	
4.563	0.04584191	0.003056118	
4.56354	0.04584356	0.003049219	
4.56408	0.04584521	0.003049219	
4.56462	0.04584685	0.003035421	
4.56516	0.04584848	0.003028523	
4.5657	0.04585011	0.003021624	
4.56624	0.04585175	0.003028523	
4.56678	0.04585338	0.003014725	
4.56732	0.045855	0.003014725	
4.56786	0.04585663	0.003007827	
4.5684	0.04585825	0.003007827	
4.56894	0.04585987	0.002994029	
4.56948	0.04586149	0.002994029	
4.57002	0.0458631	0.002987131	
4.57056	0.04586471	0.002980232	
4.5711	0.04586632	0.002980232	
4.57164	0.04586792	0.002966435	
4.57218	0.04586953	0.002973333	
4.57272	0.04587113	0.002966435	
4.57326	0.04587272	0.002945739	
4.5738	0.04587432	0.002959536	
4.57434	0.04587591	0.002945739	
4.57488	0.0458775	0.002945739	
4.57542	0.04587909	0.002945739	
4.57596	0.04588067	0.002931941	
4.5765	0.04588225	0.002918144	
4.57704	0.04588383	0.002931941	
4.57758	0.04588541	0.002925043	
4.57812	0.04588697	0.002897448	
4.57866	0.04588855	0.002918144	
4.5792	0.04589012	0.002904346	
4.57974	0.04589168	0.002897448	
4.58028	0.04589324	0.002890549	
4.58082	0.04589481	0.002890549	
4.58136	0.04589636	0.00288365	
4.5819	0.04589792	0.002876752	
4.58244	0.04589947	0.002869853	
