TimeSlice	Time	bicepsfemorisposterior	gemellussuperior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
114	0.06156	0	0.37	0.505059	0	0.285275	0.777167	0	0	0	0.109636	0.127322	0.100449
115	0.0621	0	0.37	0.503476	0	0.283571	0.784891	0	0	0	0.116871	0.135138	0.104987
116	0.06264	0	0.37	0.501979	0	0.281851	0.792419	0	0	0	0.124042	0.142861	0.109451
117	0.06318	0	0.37	0.500572	0	0.280114	0.79974	0	0	0	0.131132	0.150472	0.113831
118	0.06372	0	0.37	0.499261	0	0.278367	0.806849	0	0	0	0.138133	0.157962	0.118113
119	0.06426	0	0.37	0.498049	0	0.276612	0.813737	0	0	0	0.145035	0.165323	0.12229
120	0.0648	0	0.37	0.496938	0	0.274851	0.820399	0	0	0	0.151822	0.17254	0.126356
121	0.06534	0	0.37	0.49593	0	0.273087	0.826824	0	0	0	0.158486	0.179603	0.130301
122	0.06588	0	0.37	0.495028	0	0.271322	0.833002	0	0	0	0.16502	0.1865	0.13412
123	0.06642	0	0.37	0.494233	0	0.269558	0.838934	0	0	0	0.171415	0.193227	0.137806
124	0.06696	0	0.37	0.493545	0	0.267796	0.844614	0	0	0	0.177662	0.199771	0.141349
125	0.0675	0	0.37	0.492966	0	0.266036	0.850033	0	0	0	0.183754	0.206127	0.144746
126	0.06804	0	0.37	0.492493	0	0.264278	0.855187	0	0	0	0.189685	0.212289	0.147994
127	0.06858	0	0.37	0.492083	0	0.262524	0.860071	0	0	0	0.19545	0.218252	0.151089
128	0.06912	0	0.37	0.491702	0	0.260774	0.864679	0	0	0	0.20104	0.22401	0.154028
129	0.06966	0	0.37	0.491322	0	0.259028	0.869008	0	0	0	0.206455	0.22956	0.156805
130	0.0702	0	0.37	0.490924	0	0.257285	0.873055	0	0	0	0.211692	0.234901	0.159421
131	0.07074	0	0.37	0.490491	0	0.255543	0.876814	0	0	0	0.216746	0.240026	0.161876
132	0.07128	0	0.37	0.490013	0	0.253802	0.880282	0	0	0	0.221613	0.244932	0.164166
133	0.07182	0	0.37	0.489485	0	0.252062	0.883458	0	0	0	0.226294	0.249621	0.166292
134	0.07236	0	0.37	0.488901	0	0.250322	0.88634	0	0	0	0.230785	0.254093	0.168251
135	0.0729	0	0.37	0.48826	0	0.248581	0.888924	0	0	0	0.235085	0.258343	0.170044
136	0.07344	0	0.37	0.487563	0	0.246838	0.89121	0	0	0	0.239192	0.262373	0.171674
137	0.07398	0	0.37	0.486812	0	0.24509	0.893195	0	0	0	0.243106	0.266186	0.173141
138	0.07452	0	0.37	0.486009	0	0.243336	0.894876	0	0	0	0.246829	0.269776	0.174446
139	0.07506	0	0.37	0.485158	0	0.241577	0.896251	0	0	0	0.250358	0.273145	0.17559
140	0.0756	0	0.37	0.484264	0	0.23981	0.897323	0	0	0	0.253694	0.276298	0.176575
141	0.07614	0	0.37	0.48333	0	0.238033	0.898088	0	0	0	0.256837	0.279237	0.177405
142	0.07668	0	0.37	0.482362	0	0.236246	0.898546	0	0	0	0.259789	0.281957	0.178079
143	0.07722	0	0.37	0.481364	0	0.234448	0.898699	0	0	0	0.26255	0.284466	0.178597
144	0.07776	0	0.37	0.480342	0	0.232636	0.898541	0	0	0	0.265123	0.286767	0.178969
145	0.0783	0	0.37	0.479298	0	0.230811	0.898078	0	0	0	0.267508	0.288856	0.179195
146	0.07884	0	0.37	0.478239	0	0.22897	0.897314	0	0	0.00292934	0.269707	0.290744	0.179271
147	0.07938	0	0.37	0.477168	0	0.227111	0.896244	0	0	0.0350198	0.27172	0.292425	0.179218
148	0.07992	0	0.37	0.476091	0	0.225236	0.894869	0	0	0.0671932	0.273551	0.293905	0.179121
149	0.08046	0	0.37	0.47501	0	0.223361	0.893211	0	0	0.098906	0.275199	0.295184	0.179054
150	0.081	0	0.37	0.473926	0	0.221513	0.891303	0	0	0.129198	0.276657	0.296256	0.179017
151	0.08154	0	0.37	0.472837	0	0.219722	0.889177	0	0	0.157138	0.277921	0.297118	0.178992
152	0.08208	0	0.37	0.471738	0	0.218012	0.886872	0	0	0.18185	0.278993	0.297773	0.178972
153	0.08262	0	0.37	0.470619	0	0.216405	0.884431	0	0	0.202552	0.279876	0.298227	0.178941
154	0.08316	0	0.37	0.469471	0	0.214924	0.881885	0	0	0.218581	0.280574	0.298483	0.178885
155	0.0837	0	0.37	0.468286	0	0.21358	0.879272	0	0	0.229416	0.281094	0.298549	0.178781
156	0.08424	0	0.37	0.467055	0	0.212383	0.876616	0	0	0.234672	0.281445	0.298435	0.178607
157	0.08478	0	0.37	0.465773	0	0.211339	0.873936	0	0	0.234128	0.281634	0.29815	0.178345
158	0.08532	0	0.37	0.464438	0	0.210448	0.871254	0	0	0.227738	0.28167	0.297704	0.177965
159	0.08586	0	0.37	0.463053	0	0.209702	0.868574	0	0	0.215623	0.281561	0.297108	0.177437
160	0.0864	0	0.37	0.461623	0	0.20909	0.865894	0	0	0.198079	0.281312	0.296367	0.176737
161	0.08694	0	0.37	0.460155	0	0.208595	0.863204	0	0	0.175546	0.280926	0.295488	0.175843
162	0.08748	0	0.37	0.458664	0	0.208195	0.860482	0	0	0.148621	0.280414	0.294474	0.174729
163	0.08802	0	0.37	0.457159	0	0.207866	0.857706	0	0	0.118041	0.279779	0.293333	0.173377
