TimeSlice	Time	bicepsfemorisposterior	gemellussuperior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
68	0.03672	0.0429381	0.00678213	0.0283896	0.0322649	0.014562	0.0455446	0.0342106	0.040437	0.0466967	0.0363367	0.0412259	0.0400013
69	0.03726	0.0429294	0.00678188	0.0283833	0.0322579	0.0145643	0.0455477	0.0342024	0.040428	0.0466911	0.0363368	0.0412259	0.0400007
70	0.0378	0.0429211	0.00678164	0.0283774	0.0322513	0.0145665	0.0455505	0.0341947	0.0404196	0.0466863	0.0363368	0.0412259	0.04
71	0.03834	0.0429134	0.00678143	0.0283719	0.0322452	0.0145685	0.0455532	0.0341875	0.0404117	0.0466822	0.0363368	0.041226	0.0399994
72	0.03888	0.0429062	0.00678122	0.0283667	0.0322395	0.0145704	0.0455558	0.0341808	0.0404043	0.046679	0.0363369	0.041226	0.0399988
73	0.03942	0.0428995	0.00678103	0.0283619	0.0322342	0.0145722	0.0455581	0.0341746	0.0403974	0.0466765	0.0363369	0.041226	0.0399982
74	0.03996	0.0428933	0.00678086	0.0283575	0.0322294	0.0145738	0.0455603	0.034169	0.040391	0.0466747	0.0363369	0.041226	0.0399975
75	0.0405	0.0428876	0.0067807	0.0283534	0.032225	0.0145753	0.0455622	0.0341639	0.0403852	0.0466738	0.036337	0.0412261	0.0399969
76	0.04104	0.0428825	0.00678056	0.0283497	0.0322211	0.0145766	0.045564	0.0341593	0.0403799	0.0466736	0.036337	0.0412261	0.0399963
77	0.04158	0.0428778	0.00678043	0.0283464	0.0322176	0.0145778	0.0455656	0.0341553	0.0403752	0.0466742	0.036337	0.0412261	0.0399956
78	0.04212	0.0428737	0.00678032	0.0283435	0.0322145	0.0145789	0.0455671	0.0341517	0.040371	0.0466756	0.0363371	0.0412261	0.039995
79	0.04266	0.0428701	0.00678022	0.028341	0.0322119	0.0145798	0.0455683	0.0341487	0.0403673	0.0466778	0.0363371	0.0412262	0.0399944
