TimeSlice	Time	adductorbrevis	tensorfascialatae
642	1.284	0.396845	0.3756
643	1.286	0.396844	0.3756
644	1.288	0.396844	0.375601
645	1.29	0.396845	0.375599
646	1.292	0.396847	0.375598
647	1.294	0.396848	0.375596
648	1.296	0.39685	0.375593
649	1.298	0.396848	0.375592
650	1.3	0.396846	0.375594
651	1.302	0.396845	0.375596
652	1.304	0.396845	0.375597
653	1.306	0.396843	0.375599
654	1.308	0.396843	0.375599
655	1.31	0.396844	0.375599
656	1.312	0.396845	0.375598
657	1.314	0.396845	0.375597
658	1.316	0.396847	0.375595
659	1.318	0.396847	0.375592
660	1.32	0.396846	0.375591
661	1.322	0.396845	0.375593
662	1.324	0.396844	0.375595
663	1.326	0.396844	0.375597
664	1.328	0.396842	0.375597
665	1.33	0.396842	0.375597
666	1.332	0.396842	0.375597
667	1.334	0.396844	0.375597
668	1.336	0.396845	0.375595
669	1.338	0.396845	0.375594
670	1.34	0.396847	0.375593
671	1.342	0.396846	0.375591
672	1.344	0.396845	0.375592
673	1.346	0.396843	0.375594
674	1.348	0.396843	0.375595
675	1.35	0.396842	0.375597
676	1.352	0.396842	0.375597
677	1.354	0.396842	0.375597
678	1.356	0.396842	0.375596
679	1.358	0.396843	0.375595
680	1.36	0.396844	0.375594
681	1.362	0.396845	0.375592
682	1.364	0.396844	0.375591
683	1.366	0.396843	0.375592
684	1.368	0.396842	0.375594
685	1.37	0.396841	0.375595
686	1.372	0.396841	0.375595
687	1.374	0.396841	0.375596
688	1.376	0.396842	0.375596
689	1.378	0.396841	0.375594
690	1.38	0.396843	0.375594
691	1.382	0.396844	0.375593
692	1.384	0.396845	0.37559
693	1.386	0.396844	0.375589
694	1.388	0.396843	0.375591
695	1.39	0.396842	0.375592
696	1.392	0.396841	0.375595
697	1.394	0.39684	0.375596
698	1.396	0.396839	0.375595
699	1.398	0.39684	0.375596
700	1.4	0.39684	0.375595
701	1.402	0.396841	0.375595
702	1.404	0.396842	0.375593
703	1.406	0.396843	0.375591
704	1.408	0.396842	0.37559
705	1.41	0.396841	0.375591
706	1.412	0.396841	0.375593
707	1.414	0.39684	0.375594
708	1.416	0.396839	0.375594
709	1.418	0.396839	0.375594
710	1.42	0.396839	0.375594
711	1.422	0.39684	0.375594
712	1.424	0.396841	0.375592
713	1.426	0.396841	0.375592
714	1.428	0.396842	0.37559
715	1.43	0.396842	0.375588
716	1.432	0.396841	0.37559
717	1.434	0.396839	0.375592
718	1.436	0.396839	0.375593
719	1.438	0.396839	0.375593
720	1.44	0.396839	0.375593
721	1.442	0.396839	0.375593
722	1.444	0.396838	0.375594
723	1.446	0.396839	0.375592
724	1.448	0.396841	0.375592
725	1.45	0.396842	0.375591
726	1.452	0.396841	0.375589
727	1.454	0.396839	0.37559
728	1.456	0.396839	0.375592
729	1.458	0.396839	0.375593
730	1.46	0.396839	0.375593
731	1.462	0.396839	0.375593
732	1.464	0.396838	0.375593
733	1.466	0.396839	0.375593
734	1.468	0.396839	0.375591
735	1.47	0.39684	0.375591
736	1.472	0.396841	0.375589
737	1.474	0.39684	0.375588
738	1.476	0.396839	0.375589
739	1.478	0.396839	0.37559
740	1.48	0.396838	0.375591
741	1.482	0.396838	0.375592
742	1.484	0.396837	0.375592
743	1.486	0.396838	0.375593
744	1.488	0.396837	0.375592
745	1.49	0.396838	0.375592
746	1.492	0.396839	0.375592
747	1.494	0.396839	0.37559
748	1.496	0.396838	0.375589
749	1.498	0.396838	0.37559
750	1.5	0.396837	0.375591
751	1.502	0.396839	0.375591
752	1.504	0.396838	0.375591
753	1.506	0.396838	0.375592
754	1.508	0.396838	0.375592
755	1.51	0.396839	0.375591
756	1.512	0.396839	0.37559
757	1.514	0.396839	0.375589
758	1.516	0.39684	0.375589
759	1.518	0.396839	0.375588
760	1.52	0.396839	0.375589
761	1.522	0.396838	0.375592
762	1.524	0.396838	0.375592
763	1.526	0.396837	0.375592
764	1.528	0.396837	0.375591
765	1.53	0.396838	0.375591
766	1.532	0.396837	0.37559
767	1.534	0.396838	0.375591
768	1.536	0.396838	0.37559
769	1.538	0.396838	0.37559
770	1.54	0.396837	0.375589
771	1.542	0.396837	0.37559
772	1.544	0.396838	0.375591
773	1.546	0.396838	0.37559
774	1.548	0.396838	0.375591
775	1.55	0.396837	0.375591
776	1.552	0.396837	0.37559
777	1.554	0.396837	0.37559
778	1.556	0.396838	0.37559
779	1.558	0.396838	0.37559
780	1.56	0.396839	0.37559
781	1.562	0.396839	0.375588
782	1.564	0.396838	0.375589
783	1.566	0.396837	0.37559
784	1.568	0.396837	0.37559
785	1.57	0.396837	0.375591
786	1.572	0.396837	0.375591
787	1.574	0.396836	0.375591
788	1.576	0.396836	0.375591
789	1.578	0.396837	0.37559
790	1.58	0.396836	0.37559
791	1.582	0.396838	0.375589
792	1.584	0.396838	0.375588
793	1.586	0.396837	0.375588
794	1.588	0.396837	0.375589
795	1.59	0.396837	0.375589
796	1.592	0.396836	0.375591
797	1.594	0.396836	0.375591
798	1.596	0.396836	0.37559
799	1.598	0.396836	0.375591
800	1.6	0.396836	0.375591
801	1.602	0.396837	0.375589
802	1.604	0.396837	0.37559
803	1.606	0.396837	0.375588
804	1.608	0.396837	0.375589
805	1.61	0.396836	0.375589
806	1.612	0.396836	0.37559
807	1.614	0.396836	0.37559
808	1.616	0.396836	0.37559
809	1.618	0.396837	0.375591
810	1.62	0.396837	0.37559
811	1.622	0.396837	0.375589
812	1.624	0.396836	0.375589
813	1.626	0.396837	0.375588
814	1.628	0.396837	0.375589
815	1.63	0.396836	0.375589
816	1.632	0.396836	0.375589
817	1.634	0.396836	0.37559
818	1.636	0.396836	0.37559
819	1.638	0.396835	0.37559
820	1.64	0.396836	0.37559
821	1.642	0.396837	0.375589
822	1.644	0.396837	0.375588
823	1.646	0.396837	0.375588
824	1.648	0.396837	0.375587
825	1.65	0.396837	0.375587
826	1.652	0.396836	0.375588
827	1.654	0.396836	0.375589
828	1.656	0.396836	0.375589
829	1.658	0.396836	0.37559
830	1.66	0.396835	0.37559
831	1.662	0.396835	0.37559
832	1.664	0.396835	0.375589
833	1.666	0.396837	0.375589
834	1.668	0.396836	0.37559
835	1.67	0.396837	0.375588
836	1.672	0.396837	0.375588
837	1.674	0.396837	0.375589
838	1.676	0.396836	0.375589
839	1.678	0.396836	0.375589
840	1.68	0.396836	0.37559
841	1.682	0.396836	0.37559
842	1.684	0.396835	0.375589
843	1.686	0.396835	0.375589
844	1.688	0.396836	0.375589
845	1.69	0.396836	0.375589
846	1.692	0.396836	0.375587
847	1.694	0.396836	0.375588
848	1.696	0.396836	0.375588
849	1.698	0.396835	0.375588
850	1.7	0.396835	0.375589
851	1.702	0.396836	0.375589
852	1.704	0.396835	0.375589
853	1.706	0.396835	0.375589
854	1.708	0.396835	0.375589
855	1.71	0.396835	0.37559
856	1.712	0.396835	0.37559
857	1.714	0.396835	0.37559
858	1.716	0.396835	0.375588
859	1.718	0.396835	0.375588
860	1.72	0.396835	0.375589
861	1.722	0.396835	0.375589
862	1.724	0.396836	0.375589
863	1.726	0.396835	0.375589
864	1.728	0.396835	0.375589
865	1.73	0.396835	0.375588
866	1.732	0.396836	0.375588
867	1.734	0.396836	0.375588
