Time	LH_AnkleZ	LH_HipZ	LH_Knee	
0.76302	-0.8225639	-0.517134	-0.3973945	
0.76464	-0.8231274	-0.5153208	-0.3973163	
0.76626	-0.8236895	-0.5135052	-0.3972348	
0.76788	-0.82425	-0.5116872	-0.3971498	
0.7695	-0.8248091	-0.5098667	-0.3970615	
0.77112	-0.8253668	-0.5080438	-0.3969697	
0.7727399	-0.825923	-0.5062185	-0.3968745	
0.7743599	-0.8264778	-0.5043908	-0.3967759	
0.77598	-0.8270312	-0.5025609	-0.3966739	
0.7776	-0.8275832	-0.5007286	-0.3965685	
0.77922	-0.8281338	-0.498894	-0.3964596	
0.78084	-0.828683	-0.4970571	-0.3963473	
0.78246	-0.8292308	-0.4952179	-0.3962315	
0.78408	-0.8297773	-0.4933765	-0.3961123	
0.7857	-0.8303224	-0.4915329	-0.3959896	
0.78732	-0.8308662	-0.4896871	-0.3958634	
0.78894	-0.8314086	-0.4878391	-0.3957338	
0.7905599	-0.8319497	-0.485989	-0.3956006	
0.7921799	-0.8324895	-0.4841367	-0.395464	
0.7938	-0.833028	-0.4822823	-0.3953239	
0.79542	-0.8335651	-0.4804258	-0.3951803	
0.79704	-0.834101	-0.4785672	-0.3950332	
0.79866	-0.8346356	-0.4767066	-0.3948826	
0.80028	-0.8351688	-0.4748439	-0.3947284	
0.8019	-0.8357008	-0.4729793	-0.3945707	
0.80352	-0.8362315	-0.4711127	-0.3944095	
0.80514	-0.8367609	-0.4692441	-0.3942447	
0.80676	-0.8372891	-0.4673735	-0.3940763	
0.8083799	-0.837816	-0.4655011	-0.3939044	
0.8099999	-0.8383416	-0.4636267	-0.3937289	
0.81162	-0.838866	-0.4617505	-0.3935498	
0.81324	-0.8393891	-0.4598724	-0.3933672	
0.81486	-0.8399109	-0.4579925	-0.3931809	
0.81648	-0.8404315	-0.4561108	-0.392991	
0.8181	-0.8409509	-0.4542273	-0.3927975	
0.81972	-0.841469	-0.452342	-0.3926004	
0.82134	-0.8419858	-0.450455	-0.3923997	
0.82296	-0.8425015	-0.4485663	-0.3921953	
0.82458	-0.8430158	-0.4466759	-0.3919873	
0.8261999	-0.8435289	-0.4447838	-0.3917755	
0.8278199	-0.8440408	-0.4428901	-0.3915602	
0.82944	-0.8445513	-0.4409948	-0.3913411	
0.83106	-0.8450606	-0.4390978	-0.3911184	
0.83268	-0.8455688	-0.4371993	-0.390892	
0.8343	-0.8460756	-0.4352992	-0.3906619	
0.83592	-0.8465811	-0.4333977	-0.390428	
0.83754	-0.8470854	-0.4314946	-0.3901905	
0.83916	-0.8475884	-0.42959	-0.3899491	
0.84078	-0.8480902	-0.4276839	-0.3897041	
