TimeSlice	Time	adductorbrevis	bicepsfemorisposterior	flexordigitorumlongus	medialgastrocnemius	rectusfemoris	tensorfascialatae	tibialisanterior
232	0.12528	0	0	0.0174551	0.00199912	0.13753	0.276018	0
233	0.12582	0	0	0.0173759	0.00185812	0.137263	0.276019	0
234	0.12636	0	0	0.0172843	0.00172807	0.137005	0.276019	0
235	0.1269	0	0	0.0172095	0.00159789	0.136751	0.276017	0
236	0.12744	0	0	0.0171366	0.00146757	0.1365	0.276016	0
237	0.12798	0	0	0.0170584	0.00134791	0.136257	0.276016	0
238	0.12852	0	0	0.0170471	0.00123142	0.136019	0.276016	0
239	0.12906	0	0	0.0169713	0.00119727	0.135828	0.276022	0
240	0.1296	0	0	0.0169046	0.00108122	0.135599	0.27602	0
241	0.13014	0	0	0.0168324	0.000964637	0.135381	0.27602	0
242	0.13068	0	0	0.016762	0.00086914	0.135157	0.276018	0
243	0.13122	0	0	0.0166935	0.000750954	0.134942	0.276019	0
244	0.13176	0	0	0.0166339	0.000657485	0.134734	0.276017	0
245	0.1323	0	0	0.0165759	0.00055567	0.13453	0.276017	0
246	0.13284	0	0	0.0165265	0.000463731	0.134327	0.276017	0
247	0.13338	0	0	0.0164568	0.000370599	0.134127	0.276017	0
248	0.13392	0	0	0.0164032	0.000283506	0.133936	0.276017	0
249	0.13446	0	0	0.0163438	0.000198688	0.133748	0.276015	0
250	0.135	0	0	0.0163075	0.000112481	0.133568	0.276015	0
251	0.13554	0	0	0.0163082	3.21185e-005	0.133384	0.276015	0
252	0.13608	0	0	0.0162584	2.94796e-005	0.133247	0.27602	0
253	0.13662	0	0	0.0162027	0	0.133073	0.276022	0
254	0.13716	0	0	0.0161555	0	0.132903	0.276019	0
255	0.1377	0	0	0.0161168	0	0.13274	0.276017	0
256	0.13824	0	0	0.0160718	0	0.132573	0.276019	0
257	0.13878	0	0	0.0160279	0	0.132416	0.276018	0
258	0.13932	0	0	0.0159852	0	0.132259	0.276018	0
259	0.13986	0	0	0.0159507	0	0.132109	0.276017	0
260	0.1404	0	0	0.0159098	0	0.131958	0.276017	0
261	0.14094	0	0	0.0158772	0	0.131814	0.276016	0
262	0.14148	0	0	0.0158886	0	0.131669	0.276016	0
263	0.14202	0	0	0.0158492	0	0.131566	0.276021	0
264	0.14256	0	0	0.0158109	0	0.13143	0.276018	0
265	0.1431	0	0	0.0157879	0	0.131293	0.276019	0
266	0.14364	0	0	0.0157438	0	0.131165	0.276021	0
267	0.14418	0	0	0.0157224	0	0.131037	0.27602	0
268	0.14472	0	0	0.0156799	0	0.130908	0.276019	0
269	0.14526	0	0	0.0156529	0	0.130784	0.276016	0
270	0.1458	0	0	0.0156265	0	0.130671	0.276018	0
271	0.14634	0	0	0.0156008	0	0.130545	0.276017	0
272	0.14688	0	0	0.0155685	0	0.130433	0.276016	0
273	0.14742	0	0	0.0155945	0	0.130319	0.276017	0
274	0.14796	0	0	0.0155623	0	0.130244	0.276022	0
275	0.1485	0	0	0.0155308	0	0.130138	0.276021	0
276	0.14904	0	0	0.0155145	0	0.13003	0.27602	0
277	0.14958	0	0	0.0154914	0	0.129928	0.27602	0
278	0.15012	0	0	0.0154688	0	0.129824	0.276019	0
279	0.15066	0	0	0.0154467	0	0.129726	0.276018	0
280	0.1512	0	0	0.0154252	0	0.129627	0.276019	0
281	0.15174	0	0	0.0154041	0	0.129529	0.276018	0
282	0.15228	0	0	0.0153836	0	0.129437	0.276017	0
283	0.15282	0	0	0.0153635	0	0.129351	0.276018	0
284	0.15336	0	0	0.0153871	0	0.129262	0.276019	0
285	0.1539	0	0	0.0153741	0	0.129208	0.276023	0
286	0.15444	0	0	0.0153541	0	0.129119	0.276022	0
287	0.15498	0	0	0.0153346	0	0.129035	0.27602	0
288	0.15552	0	0	0.0153227	0	0.128953	0.276019	0
289	0.15606	0	0	0.0152967	0	0.128876	0.276019	0
290	0.1566	0	0	0.0152857	0	0.128797	0.276018	0
291	0.15714	0	0	0.0152749	0	0.128716	0.276021	0
292	0.15768	0	0	0.0152571	0	0.128644	0.276017	0
293	0.15822	0	0	0.015247	0	0.128569	0.276018	0
294	0.15876	0	0	0.015237	0	0.1285	0.27602	0
295	0.1593	0	0	0.0152705	0	0.128429	0.276017	0
296	0.15984	0	0	0.0152454	0	0.128391	0.276021	0
297	0.16038	0	0	0.0152354	0	0.128325	0.276021	0
298	0.16092	0	0	0.0152183	0	0.128261	0.276022	0
299	0.16146	0	0	0.0152088	0	0.128194	0.27602	0
300	0.162	0	0	0.0151995	0	0.128132	0.27602	0
301	0.16254	0	0	0.0151832	0	0.128072	0.276019	0
302	0.16308	0	0	0.0151745	0	0.128008	0.276021	0
303	0.16362	0	0	0.0151659	0	0.127947	0.276019	0
304	0.16416	0	0	0.0151575	0	0.12789	0.276019	0
305	0.1647	0	0	0.015142	0	0.127838	0.27602	0
306	0.16524	0	0	0.0151701	0	0.127783	0.276018	0
307	0.16578	0	0	0.0151614	0	0.127758	0.276022	0
308	0.16632	0	0	0.0151601	0	0.127708	0.276024	0
309	0.16686	0	0	0.0151515	0	0.127652	0.27602	0
310	0.1674	0	0	0.0151359	0	0.127605	0.276022	0
311	0.16794	0	0	0.0151351	0	0.127551	0.27602	0
312	0.16848	0	0	0.0151198	0	0.127505	0.27602	0
313	0.16902	0	0	0.0151121	0	0.127453	0.27602	0
314	0.16956	0	0	0.0151045	0	0.12741	0.27602	0
315	0.1701	0	0	0.015097	0	0.127367	0.27602	0
316	0.17064	0	0	0.0150969	0	0.127321	0.27602	0
317	0.17118	0	0	0.0151255	0	0.12728	0.27602	0
318	0.17172	0	0	0.0151173	0	0.127265	0.276024	0
319	0.17226	0	0	0.0151093	0	0.127222	0.276021	0
320	0.1728	0	0	0.0151014	0	0.127183	0.276021	0
321	0.17334	0	0	0.0150937	0	0.127144	0.276021	0
322	0.17388	0	0	0.0150933	0	0.127103	0.276021	0
323	0.17442	0	0	0.0150929	0	0.127066	0.276021	0
324	0.17496	0	0	0.0150924	0	0.12703	0.27602	0
325	0.1755	0	0	0.0150847	0	0.126991	0.27602	0
326	0.17604	0	0	0.0150771	0	0.126956	0.27602	0
327	0.17658	0	0	0.0150769	0	0.126923	0.27602	0
328	0.17712	0	0	0.0151126	0	0.126893	0.27602	0
329	0.17766	0	0	0.0150898	0	0.126885	0.276023	0
330	0.1782	0	0	0.015089	0	0.126849	0.276022	0
331	0.17874	0	0	0.0150883	0	0.126817	0.276024	0
332	0.17928	0	0	0.0150875	0	0.126786	0.276021	0
333	0.17982	0	0	0.0150867	0	0.126759	0.276023	0
334	0.18036	0	0	0.0150786	0	0.126725	0.276022	0
335	0.1809	0	0	0.0150779	0	0.126696	0.276022	0
336	0.18144	0	0	0.0150699	0	0.126674	0.276021	0
337	0.18198	0	0	0.0150765	0	0.126645	0.276021	0
338	0.18252	0	0	0.0150685	0	0.126614	0.27602	0
339	0.18306	0	0	0.0151038	0	0.126594	0.27602	0
340	0.1836	0	0	0.0151022	0	0.126592	0.276023	0
341	0.18414	0	0	0.0150934	0	0.126561	0.276023	0
342	0.18468	0	0	0.0150847	0	0.126539	0.276022	0
343	0.18522	0	0	0.0150834	0	0.126516	0.276023	0
344	0.18576	0	0	0.0150893	0	0.126491	0.276022	0
345	0.1863	0	0	0.0150805	0	0.126469	0.276022	0
346	0.18684	0	0	0.0150864	0	0.126445	0.276021	0
347	0.18738	0	0	0.0150848	0	0.126424	0.276022	0
348	0.18792	0	0	0.015076	0	0.126401	0.27602	0
349	0.18846	0	0	0.0150746	0	0.126377	0.276021	0
350	0.189	0	0	0.0151092	0	0.126365	0.276022	0
351	0.18954	0	0	0.0151141	0	0.126368	0.276025	0
352	0.19008	0	0	0.0151044	0	0.126345	0.276022	0
353	0.19062	0	0	0.0151092	0	0.12633	0.276023	0
354	0.19116	0	0	0.0150995	0	0.126308	0.276022	0
355	0.1917	0	0	0.0151044	0	0.12629	0.276022	0
356	0.19224	0	0	0.0150947	0	0.126269	0.276023	0
357	0.19278	0	0	0.0150996	0	0.126259	0.276022	0
358	0.19332	0	0	0.0151044	0	0.126238	0.276023	0
359	0.19386	0	0	0.0151017	0	0.126221	0.276022	0
360	0.1944	0	0	0.0150991	0	0.126205	0.276021	0
361	0.19494	0	0	0.0151253	0	0.126189	0.27602	0
362	0.19548	0	0	0.015122	0	0.126195	0.276023	0
363	0.19602	0	0	0.0151187	0	0.126183	0.276024	0
364	0.19656	0	0	0.0151154	0	0.126167	0.276023	0
365	0.1971	0	0	0.0151194	0	0.126155	0.276022	0
366	0.19764	0	0	0.0151233	0	0.126136	0.276023	0
367	0.19818	0	0	0.0151197	0	0.126129	0.276022	0
368	0.19872	0	0	0.0151307	0	0.126114	0.276023	0
369	0.19926	0	0	0.0151197	0	0.1261	0.276022	0
370	0.1998	0	0	0.0151233	0	0.126089	0.276021	0
371	0.20034	0	0	0.0151196	0	0.126072	0.276021	0
372	0.20088	0	0	0.0151447	0	0.126062	0.276022	0
373	0.20142	0	0	0.0151403	0	0.12607	0.276025	0
374	0.20196	0	0	0.0151433	0	0.12606	0.276024	0
375	0.2025	0	0	0.015146	0	0.12605	0.276024	0
376	0.20304	0	0	0.0151487	0	0.12604	0.276023	0
377	0.20358	0	0	0.0151441	0	0.126027	0.276022	0
378	0.20412	0	0	0.0151467	0	0.126018	0.276023	0
379	0.20466	0	0	0.015142	0	0.126009	0.276021	0
380	0.2052	0	0	0.0151446	0	0.126	0.276022	0
381	0.20574	0	0	0.0151471	0	0.125991	0.276021	0
382	0.20628	0	0	0.0151494	0	0.125979	0.276022	0
383	0.20682	0	0	0.0151733	0	0.12597	0.276022	0
384	0.20736	0	0	0.0151677	0	0.12598	0.276025	0
385	0.2079	0	0	0.0151694	0	0.125975	0.276025	0
386	0.20844	0	0	0.0151638	0	0.125963	0.276024	0
387	0.20898	0	0	0.0151655	0	0.125955	0.276024	0
388	0.20952	0	0	0.0151743	0	0.125947	0.276023	0
389	0.21006	0	0	0.0151757	0	0.125943	0.276023	0
390	0.2106	0	0	0.0151698	0	0.125928	0.276022	0
391	0.21114	0	0	0.0151711	0	0.125924	0.276023	0
392	0.21168	0	0	0.0151724	0	0.12592	0.276023	0
393	0.21222	0	0	0.0151737	0	0.125912	0.276024	0
394	0.21276	0	0	0.0152036	0	0.125909	0.27602	0
395	0.2133	0	0	0.0151968	0	0.125919	0.276023	0
396	0.21384	0	0	0.01519	0	0.125908	0.276023	0
397	0.21438	0	0	0.0151978	0	0.125901	0.276025	0
398	0.21492	0	0	0.0152054	0	0.125898	0.276024	0
399	0.21546	0	0	0.0151983	0	0.12589	0.276022	0
400	0.216	0	0	0.0151986	0	0.125883	0.276023	0
401	0.21654	0	0	0.015206	0	0.125877	0.276023	0
402	0.21708	0	0	0.0151988	0	0.125873	0.276023	0
403	0.21762	0	0	0.0151989	0	0.125874	0.276022	0
404	0.21816	0	0	0.0152062	0	0.125864	0.276022	0
405	0.2187	0	0	0.0152277	0	0.125861	0.276023	0
406	0.21924	0	0	0.0152269	0	0.125872	0.276025	0
407	0.21978	0	0	0.0152262	0	0.125865	0.276025	0
408	0.22032	0	0	0.0152254	0	0.125862	0.276025	0
409	0.22086	0	0	0.0152246	0	0.125863	0.276024	0
410	0.2214	0	0	0.015231	0	0.125856	0.276024	0
411	0.22194	0	0	0.0152228	0	0.125846	0.276024	0
412	0.22248	0	0	0.0152291	0	0.125851	0.276022	0
413	0.22302	0	0	0.0152281	0	0.125841	0.276024	0
414	0.22356	0	0	0.015227	0	0.125834	0.276023	0
415	0.2241	0	0	0.0152403	0	0.125835	0.276021	0
416	0.22464	0	0	0.0152605	0	0.125829	0.276023	0
417	0.22518	0	0	0.0152585	0	0.125841	0.276025	0
