TimeSlice	Time	LH_BicepsFemorisPosterior	LH_TensorFasciaLatae	neur2	LH_BicepsFemorisPosterior
366	0.19764	0.0454513	89.2068	-0.0595275	-0.000147172
367	0.19818	0.0454513	89.2068	-0.0595312	-0.000147172
368	0.19872	0.0454617	88.9262	-0.0595349	0.00642957
369	0.19926	0.0454617	88.9262	-0.0595385	0.00642957
370	0.1998	0.0454617	88.9262	-0.0595421	0.00642957
371	0.20034	0.0454615	88.9256	-0.0595457	-0.000142573
372	0.20088	0.0454615	88.9256	-0.0595493	-0.000142573
373	0.20142	0.0454615	88.9256	-0.0595529	-0.000142573
374	0.20196	0.0454763	88.6875	-0.0595564	0.00917525
375	0.2025	0.0454763	88.6875	-0.0595599	0.00917525
376	0.20304	0.0454763	88.6875	-0.0595634	0.00917525
377	0.20358	0.0454761	88.6869	-0.0595669	-0.000144872
378	0.20412	0.0454761	88.6869	-0.0595704	-0.000144872
379	0.20466	0.0454761	88.6869	-0.0595738	-0.000144872
380	0.2052	0.045496	88.4937	-0.0595773	0.0122889
381	0.20574	0.045496	88.4937	-0.0595807	0.0122889
382	0.20628	0.045496	88.4937	-0.0595841	0.0122889
383	0.20682	0.0454958	88.4931	-0.0595874	-0.000135674
384	0.20736	0.0454958	88.4931	-0.0595908	-0.000135674
385	0.2079	0.0454958	88.4931	-0.0595941	-0.000135674
386	0.20844	0.0455163	88.3273	-0.0595974	0.0126706
387	0.20898	0.0455163	88.3273	-0.0596007	0.0126706
388	0.20952	0.0455163	88.3273	-0.0596039	0.0126706
389	0.21006	0.0455436	88.3268	-0.0596072	0.0168673
390	0.2106	0.0455436	88.3268	-0.0596104	0.0168673
391	0.21114	0.0455436	88.3268	-0.0596136	0.0168673
392	0.21168	0.0455703	88.1111	-0.0596168	0.0164212
393	0.21222	0.0455703	88.1111	-0.0596199	0.0164212
394	0.21276	0.0455703	88.1111	-0.0596231	0.0164212
395	0.2133	0.0456028	88.1105	-0.0596262	0.020066
396	0.21384	0.0456028	88.1105	-0.0596293	0.020066
397	0.21438	0.0456028	88.1105	-0.0596324	0.020066
398	0.21492	0.0456277	87.9063	-0.0596354	0.0153956
399	0.21546	0.0456277	87.9063	-0.0596384	0.0153956
400	0.216	0.0456277	87.9063	-0.0596414	0.0153956
401	0.21654	0.0456549	87.9057	-0.0596444	0.016773
402	0.21708	0.0456549	87.9057	-0.0596474	0.016773
403	0.21762	0.0456549	87.9057	-0.0596503	0.016773
404	0.21816	0.0456757	87.7337	-0.0596532	0.0128339
405	0.2187	0.0456757	87.7337	-0.0596561	0.0128339
406	0.21924	0.0456757	87.7337	-0.059659	0.0128339
407	0.21978	0.0456958	87.7332	-0.0596619	0.0124061
408	0.22032	0.0456958	87.7332	-0.0596647	0.0124061
409	0.22086	0.0456958	87.7332	-0.0596675	0.0124061
410	0.2214	0.0457129	87.5898	-0.0596703	0.0105918
