TimeSlice	Time	bicepsfemorisposterior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
174	0.09396	0	0	0	0.0745373	0.173868	0	0	0	0.0535734	0.0461577	0.0294571
175	0.0945	0	0	0	0.0745154	0.172913	0	0	0	0.05325	0.0458736	0.0294335
176	0.09504	0	0	0	0.0744956	0.171974	0	0	0	0.0529391	0.0455924	0.0294108
177	0.09558	0	0	0	0.0744767	0.171058	0	0	0	0.0526359	0.0453158	0.0293906
178	0.09612	0	0	0	0.0744593	0.170162	0	0	0	0.0523345	0.0450491	0.0293712
179	0.09666	0	0	0	0.0744418	0.169284	0	0	0	0.0520428	0.0447922	0.0293542
180	0.0972	0	0	0	0.0744242	0.168428	0	0	0	0.0517585	0.0445411	0.0293378
181	0.09774	0	0	0	0.0744098	0.167587	0	0	0	0.0514778	0.044294	0.0293183
182	0.09828	0	0	0	0.0743948	0.16676	0	0	0	0.0512053	0.0440508	0.0292995
183	0.09882	0	0	0	0.07438	0.16595	0	0	0	0.0509385	0.0438131	0.0292849
184	0.09936	0	0	0	0.0743664	0.165156	0	0	0	0.0506773	0.0435772	0.0292744
185	0.0999	0	0	0	0.0743526	0.164382	0	0	0	0.050424	0.0433521	0.0292605
186	0.10044	0	0	0	0.0743413	0.163627	0	0	0	0.0501724	0.043134	0.0292471
187	0.10098	0	0	0	0.0743297	0.162883	0	0	0	0.0499274	0.0429172	0.0292342
188	0.10152	0	0	0	0.0743177	0.162152	0	0	0	0.0496874	0.042709	0.0292216
189	0.10206	0	0	0	0.0743072	0.161439	0	0	0	0.0494525	0.0425091	0.029213
190	0.1026	0	0	0	0.0742972	0.160742	0	0	0	0.0492237	0.0423102	0.0292046
191	0.10314	0	0	0	0.0742873	0.160061	0	0	0	0.0489985	0.0421158	0.0291946
192	0.10368	0	0	0	0.0742769	0.159392	0	0	0	0.0487814	0.0419313	0.0291831
193	0.10422	0	0	0	0.0742676	0.158733	0	0	0	0.0485655	0.0417455	0.0291755
194	0.10476	0	0	0	0.0742595	0.158091	0	0	0	0.0483552	0.0415658	0.0291663
195	0.1053	0	0	0	0.0742519	0.157462	0	0	0	0.0481528	0.0413901	0.0291592
196	0.10584	0	0	0	0.0742433	0.156848	0	0	0	0.0479546	0.0412185	0.0291558
197	0.10638	0	0	0	0.0742356	0.156246	0	0	0	0.0477571	0.0410543	0.029147
