TimeSlice	Time	neur1	neur2	neur3	neur4	neur5	neur6
198	0.0396	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
199	0.0398	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
200	0.04	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
201	0.0402	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
202	0.0404	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
203	0.0406	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
204	0.0408	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
205	0.041	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
206	0.0412	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
207	0.0414	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
208	0.0416	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
209	0.0418	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
210	0.042	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
211	0.0422	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
212	0.0424	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
213	0.0426	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
214	0.0428	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
215	0.043	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
216	0.0432	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
217	0.0434	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
218	0.0436	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
219	0.0438	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
220	0.044	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
221	0.0442	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
222	0.0444	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
223	0.0446	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
224	0.0448	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
225	0.045	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
226	0.0452	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
227	0.0454	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
228	0.0456	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
229	0.0458	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
230	0.046	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
231	0.0462	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
232	0.0464	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
233	0.0466	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
234	0.0468	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
235	0.047	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
236	0.0472	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
237	0.0474	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
238	0.0476	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
239	0.0478	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
240	0.048	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
241	0.0482	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
242	0.0484	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
243	0.0486	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
244	0.0488	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
245	0.049	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
246	0.0492	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
247	0.0494	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
248	0.0496	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
249	0.0498	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
250	0.05	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
251	0.0502	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
252	0.0504	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
253	0.0506	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
254	0.0508	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
255	0.051	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
256	0.0512	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
257	0.0514	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
258	0.0516	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
259	0.0518	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
260	0.052	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
261	0.0522	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
262	0.0524	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
263	0.0526	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
264	0.0528	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
265	0.053	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
266	0.0532	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
267	0.0534	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
268	0.0536	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
269	0.0538	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
270	0.054	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
271	0.0542	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
272	0.0544	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
273	0.0546	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
274	0.0548	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
275	0.055	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
276	0.0552	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
277	0.0554	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
278	0.0556	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
279	0.0558	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
280	0.056	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
281	0.0562	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
282	0.0564	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
