TimeSlice	Time	neur39	neur40	neur41	neur42	neur43	neur44
118	0.0236	-0.056924	-0.0494982	-0.0595028	-0.0596807	-0.0599739	-0.0599014
119	0.0238	-0.0569269	-0.0495001	-0.0595017	-0.0596802	-0.0599733	-0.0599021
120	0.024	-0.0569298	-0.0495022	-0.0595006	-0.0596796	-0.0599727	-0.0599029
121	0.0242	-0.0569328	-0.0495045	-0.0594995	-0.059679	-0.0599721	-0.0599037
122	0.0244	-0.0569358	-0.0495068	-0.0594984	-0.0596785	-0.0599715	-0.0599045
123	0.0246	-0.0569389	-0.0495094	-0.0594973	-0.0596779	-0.0599709	-0.0599053
124	0.0248	-0.056942	-0.049512	-0.0594962	-0.0596772	-0.0599702	-0.0599061
125	0.025	-0.0569452	-0.0495148	-0.0594951	-0.0596766	-0.0599695	-0.0599069
126	0.0252	-0.0569484	-0.0495177	-0.059494	-0.059676	-0.0599688	-0.0599077
127	0.0254	-0.0569517	-0.0495207	-0.0594929	-0.0596753	-0.0599681	-0.0599085
128	0.0256	-0.056955	-0.0495238	-0.0594918	-0.0596746	-0.0599673	-0.0599093
129	0.0258	-0.0569584	-0.0495271	-0.0594908	-0.0596739	-0.0599666	-0.0599101
130	0.026	-0.0569618	-0.0495304	-0.0594897	-0.0596732	-0.0599658	-0.0599108
131	0.0262	-0.0569652	-0.0495339	-0.0594887	-0.0596725	-0.059965	-0.0599116
132	0.0264	-0.0569687	-0.0495374	-0.0594876	-0.0596718	-0.0599641	-0.0599124
133	0.0266	-0.0569722	-0.0495411	-0.0594865	-0.059671	-0.0599633	-0.0599132
134	0.0268	-0.0569758	-0.0495448	-0.0594855	-0.0596703	-0.0599624	-0.059914
135	0.027	-0.0569794	-0.0495486	-0.0594844	-0.0596695	-0.0599615	-0.0599148
136	0.0272	-0.056983	-0.0495525	-0.0594834	-0.0596687	-0.0599606	-0.0599156
137	0.0274	-0.0569867	-0.0495565	-0.0594824	-0.0596679	-0.0599597	-0.0599164
138	0.0276	-0.0569904	-0.0495606	-0.0594813	-0.0596671	-0.0599587	-0.0599171
139	0.0278	-0.0569941	-0.0495647	-0.0594803	-0.0596662	-0.0599577	-0.0599179
140	0.028	-0.0569979	-0.0495689	-0.0594793	-0.0596654	-0.0599567	-0.0599187
141	0.0282	-0.0570017	-0.0495732	-0.0594782	-0.0596645	-0.0599557	-0.0599195
142	0.0284	-0.0570055	-0.0495776	-0.0594772	-0.0596636	-0.0599547	-0.0599203
143	0.0286	-0.0570094	-0.049582	-0.0594762	-0.0596627	-0.0599536	-0.059921
144	0.0288	-0.0570133	-0.0495865	-0.0594752	-0.0596618	-0.0599525	-0.0599218
145	0.029	-0.0570172	-0.049591	-0.0594741	-0.0596609	-0.0599514	-0.0599226
146	0.0292	-0.0570211	-0.0495956	-0.0594731	-0.0596599	-0.0599503	-0.0599234
147	0.0294	-0.0570251	-0.0496002	-0.0594721	-0.0596589	-0.0599491	-0.0599241
148	0.0296	-0.0570291	-0.0496049	-0.0594711	-0.0596579	-0.059948	-0.0599249
149	0.0298	-0.0570331	-0.0496097	-0.0594701	-0.0596569	-0.0599468	-0.0599257
150	0.03	-0.0570372	-0.0496145	-0.0594691	-0.0596559	-0.0599456	-0.0599264
151	0.0302	-0.0570412	-0.0496194	-0.0594681	-0.0596549	-0.0599443	-0.0599272
152	0.0304	-0.0570453	-0.0496243	-0.0594671	-0.0596538	-0.0599431	-0.059928
153	0.0306	-0.0570494	-0.0496292	-0.0594661	-0.0596527	-0.0599418	-0.0599287
154	0.0308	-0.0570536	-0.0496342	-0.0594651	-0.0596517	-0.0599405	-0.0599295
155	0.031	-0.0570577	-0.0496393	-0.0594641	-0.0596505	-0.0599392	-0.0599302
156	0.0312	-0.0570619	-0.0496443	-0.0594631	-0.0596494	-0.0599379	-0.059931
157	0.0314	-0.0570661	-0.0496494	-0.0594621	-0.0596483	-0.0599365	-0.0599318
158	0.0316	-0.0570704	-0.0496546	-0.0594611	-0.0596471	-0.0599351	-0.0599325
159	0.0318	-0.0570746	-0.0496598	-0.0594601	-0.0596459	-0.0599337	-0.0599333
160	0.032	-0.0570789	-0.049665	-0.0594592	-0.0596447	-0.0599323	-0.059934
161	0.0322	-0.0570831	-0.0496703	-0.0594582	-0.0596435	-0.0599309	-0.0599348
162	0.0324	-0.0570874	-0.0496756	-0.0594572	-0.0596423	-0.0599294	-0.0599355
163	0.0326	-0.0570918	-0.0496809	-0.0594562	-0.059641	-0.0599279	-0.0599362
164	0.0328	-0.0570961	-0.0496863	-0.0594552	-0.0596397	-0.0599264	-0.059937
165	0.033	-0.0571005	-0.0496916	-0.0594543	-0.0596385	-0.0599249	-0.0599377
166	0.0332	-0.0571048	-0.0496971	-0.0594533	-0.0596371	-0.0599233	-0.0599385
167	0.0334	-0.0571092	-0.0497025	-0.0594523	-0.0596358	-0.0599218	-0.0599392
168	0.0336	-0.0571136	-0.049708	-0.0594513	-0.0596345	-0.0599202	-0.0599399
169	0.0338	-0.0571181	-0.0497135	-0.0594504	-0.0596331	-0.0599186	-0.0599407
170	0.034	-0.0571225	-0.049719	-0.0594494	-0.0596317	-0.0599169	-0.0599414
171	0.0342	-0.0571269	-0.0497245	-0.0594484	-0.0596303	-0.0599153	-0.0599421
172	0.0344	-0.0571314	-0.0497301	-0.0594475	-0.0596289	-0.0599136	-0.0599428
173	0.0346	-0.0571359	-0.0497357	-0.0594465	-0.0596275	-0.0599119	-0.0599435
174	0.0348	-0.0571404	-0.0497413	-0.0594455	-0.059626	-0.0599102	-0.0599443
175	0.035	-0.0571449	-0.049747	-0.0594446	-0.0596245	-0.0599085	-0.059945
176	0.0352	-0.0571494	-0.0497526	-0.0594436	-0.059623	-0.0599067	-0.0599457
177	0.0354	-0.057154	-0.0497583	-0.0594427	-0.0596215	-0.0599049	-0.0599464
178	0.0356	-0.0571585	-0.049764	-0.0594417	-0.05962	-0.0599032	-0.0599471
179	0.0358	-0.0571631	-0.0497697	-0.0594407	-0.0596184	-0.0599013	-0.0599478
180	0.036	-0.0571677	-0.0497755	-0.0594398	-0.0596169	-0.0598995	-0.0599485
181	0.0362	-0.0571723	-0.0497812	-0.0594388	-0.0596153	-0.0598976	-0.0599492
182	0.0364	-0.0571769	-0.049787	-0.0594379	-0.0596137	-0.0598958	-0.0599499
183	0.0366	-0.0571815	-0.0497928	-0.0594369	-0.059612	-0.0598939	-0.0599506
184	0.0368	-0.0571862	-0.0497986	-0.059436	-0.0596104	-0.0598919	-0.0599513
185	0.037	-0.0571908	-0.0498044	-0.059435	-0.0596087	-0.05989	-0.059952
186	0.0372	-0.0571955	-0.0498102	-0.0594341	-0.059607	-0.059888	-0.0599527
187	0.0374	-0.0572002	-0.0498161	-0.0594331	-0.0596053	-0.0598861	-0.0599534
188	0.0376	-0.0572049	-0.0498219	-0.0594322	-0.0596036	-0.0598841	-0.0599541
189	0.0378	-0.0572096	-0.0498278	-0.0594312	-0.0596019	-0.059882	-0.0599548
190	0.038	-0.0572143	-0.0498337	-0.0594303	-0.0596001	-0.05988	-0.0599555
191	0.0382	-0.057219	-0.0498396	-0.0594294	-0.0595983	-0.059878	-0.0599561
192	0.0384	-0.0572237	-0.0498455	-0.0594284	-0.0595965	-0.0598759	-0.0599568
193	0.0386	-0.0572285	-0.0498515	-0.0594275	-0.0595947	-0.0598738	-0.0599575
194	0.0388	-0.0572332	-0.0498574	-0.0594265	-0.0595929	-0.0598716	-0.0599582
195	0.039	-0.057238	-0.0498634	-0.0594256	-0.059591	-0.0598695	-0.0599588
196	0.0392	-0.0572428	-0.0498693	-0.0594247	-0.0595891	-0.0598673	-0.0599595
197	0.0394	-0.0572475	-0.0498753	-0.0594237	-0.0595872	-0.0598652	-0.0599602
198	0.0396	-0.0572523	-0.0498813	-0.0594228	-0.0595853	-0.059863	-0.0599608
199	0.0398	-0.0572572	-0.0498873	-0.0594219	-0.0595834	-0.0598607	-0.0599615
200	0.04	-0.057262	-0.0498933	-0.0594209	-0.0595814	-0.0598585	-0.0599622
201	0.0402	-0.0572668	-0.0498994	-0.05942	-0.0595794	-0.0598562	-0.0599628
202	0.0404	-0.0572716	-0.0499054	-0.0594191	-0.0595774	-0.059854	-0.0599635
203	0.0406	-0.0572765	-0.0499114	-0.0594182	-0.0595754	-0.0598517	-0.0599641
204	0.0408	-0.0572814	-0.0499175	-0.0594172	-0.0595734	-0.0598493	-0.0599648
205	0.041	-0.0572862	-0.0499235	-0.0594163	-0.0595713	-0.059847	-0.0599654
206	0.0412	-0.0572911	-0.0499296	-0.0594154	-0.0595692	-0.0598446	-0.059966
207	0.0414	-0.057296	-0.0499357	-0.0594145	-0.0595671	-0.0598423	-0.0599667
208	0.0416	-0.0573009	-0.0499418	-0.0594135	-0.059565	-0.0598399	-0.0599673
209	0.0418	-0.0573058	-0.0499479	-0.0594126	-0.0595629	-0.0598374	-0.059968
210	0.042	-0.0573107	-0.049954	-0.0594117	-0.0595607	-0.059835	-0.0599686
211	0.0422	-0.0573156	-0.0499601	-0.0594108	-0.0595585	-0.0598325	-0.0599692
212	0.0424	-0.0573206	-0.0499662	-0.0594099	-0.0595563	-0.0598301	-0.0599698
213	0.0426	-0.0573255	-0.0499723	-0.059409	-0.0595541	-0.0598276	-0.0599705
214	0.0428	-0.0573305	-0.0499785	-0.059408	-0.0595519	-0.0598251	-0.0599711
215	0.043	-0.0573354	-0.0499846	-0.0594071	-0.0595496	-0.0598225	-0.0599717
216	0.0432	-0.0573404	-0.0499908	-0.0594062	-0.0595473	-0.05982	-0.0599723
217	0.0434	-0.0573454	-0.0499969	-0.0594053	-0.059545	-0.0598174	-0.0599729
218	0.0436	-0.0573504	-0.0500031	-0.0594044	-0.0595427	-0.0598148	-0.0599736
219	0.0438	-0.0573554	-0.0500093	-0.0594035	-0.0595404	-0.0598122	-0.0599742
220	0.044	-0.0573604	-0.0500154	-0.0594026	-0.059538	-0.0598096	-0.0599748
221	0.0442	-0.0573654	-0.0500216	-0.0594017	-0.0595356	-0.0598069	-0.0599754
222	0.0444	-0.0573704	-0.0500278	-0.0594008	-0.0595332	-0.0598042	-0.059976
223	0.0446	-0.0573754	-0.050034	-0.0593999	-0.0595308	-0.0598015	-0.0599766
224	0.0448	-0.0573804	-0.0500402	-0.059399	-0.0595284	-0.0597988	-0.0599772
225	0.045	-0.0573855	-0.0500464	-0.0593981	-0.0595259	-0.0597961	-0.0599778
226	0.0452	-0.0573905	-0.0500526	-0.0593972	-0.0595234	-0.0597934	-0.0599784
227	0.0454	-0.0573956	-0.0500589	-0.0593963	-0.0595209	-0.0597906	-0.059979
228	0.0456	-0.0574007	-0.0500651	-0.0593954	-0.0595184	-0.0597878	-0.0599795
229	0.0458	-0.0574057	-0.0500713	-0.0593945	-0.0595159	-0.059785	-0.0599801
230	0.046	-0.0574108	-0.0500776	-0.0593936	-0.0595133	-0.0597822	-0.0599807
231	0.0462	-0.0574159	-0.0500838	-0.0593927	-0.0595107	-0.0597793	-0.0599813
232	0.0464	-0.057421	-0.05009	-0.0593918	-0.0595081	-0.0597765	-0.0599819
233	0.0466	-0.0574261	-0.0500963	-0.0593909	-0.0595055	-0.0597736	-0.0599824
234	0.0468	-0.0574312	-0.0501026	-0.05939	-0.0595029	-0.0597707	-0.059983
235	0.047	-0.0574363	-0.0501088	-0.0593891	-0.0595002	-0.0597678	-0.0599836
236	0.0472	-0.0574415	-0.0501151	-0.0593882	-0.0594975	-0.0597649	-0.0599841
237	0.0474	-0.0574466	-0.0501214	-0.0593873	-0.0594948	-0.0597619	-0.0599847
238	0.0476	-0.0574517	-0.0501276	-0.0593864	-0.0594921	-0.0597589	-0.0599853
239	0.0478	-0.0574569	-0.0501339	-0.0593855	-0.0594893	-0.0597559	-0.0599858
240	0.048	-0.057462	-0.0501402	-0.0593847	-0.0594866	-0.0597529	-0.0599864
241	0.0482	-0.0574672	-0.0501465	-0.0593838	-0.0594838	-0.0597499	-0.0599869
242	0.0484	-0.0574723	-0.0501528	-0.0593829	-0.059481	-0.0597469	-0.0599875
243	0.0486	-0.0574775	-0.0501591	-0.059382	-0.0594782	-0.0597438	-0.059988
244	0.0488	-0.0574827	-0.0501654	-0.0593811	-0.0594753	-0.0597407	-0.0599886
245	0.049	-0.0574879	-0.0501717	-0.0593803	-0.0594724	-0.0597376	-0.0599891
246	0.0492	-0.0574931	-0.050178	-0.0593794	-0.0594695	-0.0597345	-0.0599897
247	0.0494	-0.0574983	-0.0501843	-0.0593785	-0.0594666	-0.0597314	-0.0599902
248	0.0496	-0.0575035	-0.0501907	-0.0593776	-0.0594637	-0.0597282	-0.0599907
249	0.0498	-0.0575087	-0.050197	-0.0593768	-0.0594608	-0.059725	-0.0599913
250	0.05	-0.0575139	-0.0502033	-0.0593759	-0.0594578	-0.0597218	-0.0599918
251	0.0502	-0.0575191	-0.0502096	-0.059375	-0.0594548	-0.0597186	-0.0599923
252	0.0504	-0.0575243	-0.050216	-0.0593741	-0.0594518	-0.0597154	-0.0599928
253	0.0506	-0.0575296	-0.0502223	-0.0593733	-0.0594487	-0.0597121	-0.0599934
254	0.0508	-0.0575348	-0.0502287	-0.0593724	-0.0594457	-0.0597089	-0.0599939
255	0.051	-0.05754	-0.050235	-0.0593715	-0.0594426	-0.0597056	-0.0599944
256	0.0512	-0.0575453	-0.0502414	-0.0593707	-0.0594395	-0.0597023	-0.0599949
257	0.0514	-0.0575505	-0.0502477	-0.0593698	-0.0594364	-0.059699	-0.0599954
258	0.0516	-0.0575558	-0.0502541	-0.0593689	-0.0594333	-0.0596957	-0.0599959
259	0.0518	-0.0575611	-0.0502604	-0.0593681	-0.0594301	-0.0596923	-0.0599964
260	0.052	-0.0575663	-0.0502668	-0.0593672	-0.0594269	-0.0596889	-0.059997
261	0.0522	-0.0575716	-0.0502732	-0.0593664	-0.0594237	-0.0596855	-0.0599975
262	0.0524	-0.0575769	-0.0502795	-0.0593655	-0.0594205	-0.0596821	-0.059998
263	0.0526	-0.0575822	-0.0502859	-0.0593646	-0.0594173	-0.0596787	-0.0599985
264	0.0528	-0.0575875	-0.0502923	-0.0593638	-0.059414	-0.0596753	-0.0599989
265	0.053	-0.0575928	-0.0502987	-0.0593629	-0.0594107	-0.0596718	-0.0599994
266	0.0532	-0.0575981	-0.050305	-0.0593621	-0.0594074	-0.0596683	-0.0599999
267	0.0534	-0.0576034	-0.0503114	-0.0593612	-0.0594041	-0.0596649	-0.0600004
268	0.0536	-0.0576087	-0.0503178	-0.0593604	-0.0594008	-0.0596613	-0.0600009
269	0.0538	-0.057614	-0.0503242	-0.0593595	-0.0593974	-0.0596578	-0.0600014
270	0.054	-0.0576193	-0.0503306	-0.0593587	-0.059394	-0.0596543	-0.0600019
271	0.0542	-0.0576247	-0.050337	-0.0593578	-0.0593906	-0.0596507	-0.0600023
272	0.0544	-0.05763	-0.0503434	-0.059357	-0.0593872	-0.0596471	-0.0600028
273	0.0546	-0.0576353	-0.0503498	-0.0593561	-0.0593837	-0.0596435	-0.0600033
274	0.0548	-0.0576407	-0.0503562	-0.0593553	-0.0593803	-0.0596399	-0.0600037
275	0.055	-0.057646	-0.0503626	-0.0593545	-0.0593768	-0.0596363	-0.0600042
276	0.0552	-0.0576514	-0.050369	-0.0593536	-0.0593733	-0.0596326	-0.0600047
277	0.0554	-0.0576567	-0.0503754	-0.0593528	-0.0593698	-0.059629	-0.0600051
278	0.0556	-0.0576621	-0.0503818	-0.0593519	-0.0593662	-0.0596253	-0.0600056
279	0.0558	-0.0576674	-0.0503883	-0.0593511	-0.0593626	-0.0596216	-0.060006
280	0.056	-0.0576728	-0.0503947	-0.0593503	-0.059359	-0.0596179	-0.0600065
281	0.0562	-0.0576782	-0.0504011	-0.0593494	-0.0593554	-0.0596142	-0.0600069
282	0.0564	-0.0576835	-0.0504075	-0.0593486	-0.0593518	-0.0596104	-0.0600074
283	0.0566	-0.0576889	-0.050414	-0.0593478	-0.0593482	-0.0596066	-0.0600078
284	0.0568	-0.0576943	-0.0504204	-0.0593469	-0.0593445	-0.0596029	-0.0600083
285	0.057	-0.0576997	-0.0504268	-0.0593461	-0.0593408	-0.0595991	-0.0600087
286	0.0572	-0.0577051	-0.0504333	-0.0593453	-0.0593371	-0.0595952	-0.0600092
