TimeSlice	Time	LH_AnkleZ	LH_Knee	LH_HipZ
374	0.20196	-0.52135	-0.230293	-0.923013
375	0.2025	-0.521586	-0.23057	-0.922843
376	0.20304	-0.521824	-0.230847	-0.922673
377	0.20358	-0.522062	-0.231125	-0.922503
378	0.20412	-0.522301	-0.231402	-0.922332
379	0.20466	-0.522541	-0.23168	-0.922161
380	0.2052	-0.522782	-0.231958	-0.921989
381	0.20574	-0.523023	-0.232236	-0.921817
382	0.20628	-0.523265	-0.232514	-0.921645
383	0.20682	-0.523508	-0.232793	-0.921472
384	0.20736	-0.523752	-0.233072	-0.921299
385	0.2079	-0.523996	-0.233351	-0.921125
386	0.20844	-0.524241	-0.23363	-0.920951
387	0.20898	-0.524487	-0.233909	-0.920777
388	0.20952	-0.524734	-0.234188	-0.920602
389	0.21006	-0.524981	-0.234468	-0.920427
390	0.2106	-0.52523	-0.234748	-0.920252
391	0.21114	-0.525479	-0.235028	-0.920076
392	0.21168	-0.525728	-0.235308	-0.9199
393	0.21222	-0.525979	-0.235588	-0.919723
394	0.21276	-0.52623	-0.235869	-0.919546
395	0.2133	-0.526482	-0.236149	-0.919368
396	0.21384	-0.526735	-0.23643	-0.919191
397	0.21438	-0.526988	-0.236711	-0.919012
398	0.21492	-0.527242	-0.236992	-0.918834
399	0.21546	-0.527497	-0.237274	-0.918655
400	0.216	-0.527753	-0.237555	-0.918475
401	0.21654	-0.528009	-0.237837	-0.918296
402	0.21708	-0.528266	-0.238119	-0.918115
403	0.21762	-0.528524	-0.2384	-0.917935
404	0.21816	-0.528783	-0.238682	-0.917754
405	0.2187	-0.529042	-0.238965	-0.917572
406	0.21924	-0.529302	-0.239247	-0.917391
407	0.21978	-0.529562	-0.239529	-0.917208
408	0.22032	-0.529824	-0.239812	-0.917026
409	0.22086	-0.530086	-0.240095	-0.916843
410	0.2214	-0.530349	-0.240378	-0.91666
411	0.22194	-0.530612	-0.240661	-0.916476
412	0.22248	-0.530876	-0.240944	-0.916292
413	0.22302	-0.531141	-0.241227	-0.916107
414	0.22356	-0.531407	-0.24151	-0.915922
415	0.2241	-0.531673	-0.241794	-0.915737
416	0.22464	-0.53194	-0.242078	-0.915551
417	0.22518	-0.532207	-0.242361	-0.915365
418	0.22572	-0.532476	-0.242645	-0.915179
419	0.22626	-0.532745	-0.242929	-0.914992
420	0.2268	-0.533015	-0.243213	-0.914805
421	0.22734	-0.533285	-0.243497	-0.914617
422	0.22788	-0.533556	-0.243782	-0.914429
423	0.22842	-0.533828	-0.244066	-0.91424
424	0.22896	-0.5341	-0.244351	-0.914051
425	0.2295	-0.534373	-0.244635	-0.913862
426	0.23004	-0.534647	-0.24492	-0.913672
427	0.23058	-0.534921	-0.245205	-0.913482
428	0.23112	-0.535196	-0.24549	-0.913292
429	0.23166	-0.535472	-0.245775	-0.913101
430	0.2322	-0.535748	-0.24606	-0.91291
431	0.23274	-0.536025	-0.246345	-0.912718
432	0.23328	-0.536303	-0.24663	-0.912526
433	0.23382	-0.536581	-0.246916	-0.912333
434	0.23436	-0.53686	-0.247201	-0.912141
435	0.2349	-0.53714	-0.247487	-0.911947
436	0.23544	-0.53742	-0.247772	-0.911754
437	0.23598	-0.537701	-0.248058	-0.911559
438	0.23652	-0.537983	-0.248344	-0.911365
439	0.23706	-0.538265	-0.24863	-0.91117
440	0.2376	-0.538548	-0.248915	-0.910975
441	0.23814	-0.538831	-0.249201	-0.910779
442	0.23868	-0.539115	-0.249487	-0.910583
443	0.23922	-0.5394	-0.249774	-0.910387
